"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creating a new milestone with specified details and verifying its creation.","6413","Verify that a completed milestone can be created with valid details","TestRail CrossBrowserTest","Tue Jan 14 18:54:16 GMT 2025","passed","Tue Jan 14 18:54:22 GMT 2025","tests.ui.MilestonesTest","Chrome","tests.ui.MilestonesTest","checkCreateCompletedMilestones"
"Retrieving user information using the email address.","1319","Verify that user information can be retrieved by email address","TestRail CrossBrowserTest","Tue Jan 14 18:53:46 GMT 2025","passed","Tue Jan 14 18:53:47 GMT 2025","tests.api.TestCasesTest","Chrome","tests.api.TestCasesTest","getUserByEmail"
"Deleting a webhook","0","Delete webhook","TestRail CrossBrowserTest","Tue Jan 14 18:56:09 GMT 2025","skipped","Tue Jan 14 18:56:09 GMT 2025","tests.ui.ProjectTest","Chrome","tests.ui.ProjectTest","checkDeleteWebhook"
"Check positive login","5269","Check positive login","TestRail CrossBrowserTest","Tue Jan 14 18:54:14 GMT 2025","passed","Tue Jan 14 18:54:19 GMT 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","validLogin"
"Creating a new report with specified parameters and verifying its creation.","21875","Verify that a new report can be created with valid data","TestRail CrossBrowserTest","Tue Jan 14 18:53:47 GMT 2025","passed","Tue Jan 14 18:54:09 GMT 2025","tests.ui.ReportsTest","Chrome","tests.ui.ReportsTest","checkCreateReports"
"Negative login check","4547","Check that user cannot login with invalid data","TestRail CrossBrowserTest","Tue Jan 14 18:54:03 GMT 2025","passed","Tue Jan 14 18:54:08 GMT 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","invalidLogin"
"Negative login check","19933","Check that user cannot login with invalid data","TestRail CrossBrowserTest","Tue Jan 14 18:53:42 GMT 2025","passed","Tue Jan 14 18:54:02 GMT 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","invalidLogin"
"Negative login check","4894","Check that user cannot login with invalid data","TestRail CrossBrowserTest","Tue Jan 14 18:54:08 GMT 2025","passed","Tue Jan 14 18:54:13 GMT 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","invalidLogin"
"Editing an existing project with specified parameters and verifying the successful completion of the operation.","33104","Verify project editing","TestRail CrossBrowserTest","Tue Jan 14 18:55:29 GMT 2025","failed","Tue Jan 14 18:56:02 GMT 2025","tests.ui.ProjectTest","Chrome","tests.ui.ProjectTest","checkEditProject"
"Creating a new project with specified parameters and verifying the successful completion of the operation.","6105","Verify project creation","TestRail CrossBrowserTest","Tue Jan 14 18:54:09 GMT 2025","passed","Tue Jan 14 18:54:15 GMT 2025","tests.ui.ProjectTest","Chrome","tests.ui.ProjectTest","checkCreateProject"
"Adding a new test case with valid data.","505","Verify that a new test case can be added successfully","TestRail CrossBrowserTest","Tue Jan 14 18:53:45 GMT 2025","failed","Tue Jan 14 18:53:46 GMT 2025","tests.api.TestCasesTest","Chrome","tests.api.TestCasesTest","addTestCase"
"Creating a new milestone with specified details and verifying its creation.","7272","Verify that a new upcoming milestone can be created with valid details","TestRail CrossBrowserTest","Tue Jan 14 18:56:02 GMT 2025","passed","Tue Jan 14 18:56:09 GMT 2025","tests.ui.MilestonesTest","Chrome","tests.ui.MilestonesTest","checkCreateUpcomingMilestones"
